#group,false,false,false,false
#datatype,double,string,string,dateTime:RFC3339
#default,,,,
,price,price_str,symbol,time
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:33.11Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:33.304Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:33.489Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:33.895Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:34.097Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:34.413Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:34.633Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:34.696Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:35.457Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:35.503Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:35.526Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:35.601Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:35.869Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:35.984Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:37.022Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:37.403Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:37.625Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:38.016Z
,107940.99,107940.99000000,BTCUSDT,2025-06-26T07:40:38.175Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:38.695Z
,107941,107941.00000000,BTCUSDT,2025-06-26T07:40:38.699Z
,107997.29,107997.29000000,BTCUSDT,2025-06-26T07:43:16.156Z
,107995.64,107995.64000000,BTCUSDT,2025-06-26T07:43:16.159Z
,107995.63,107995.63000000,BTCUSDT,2025-06-26T07:43:16.174Z
,107995.63,107995.63000000,BTCUSDT,2025-06-26T07:43:16.176Z
,107995.13,107995.13000000,BTCUSDT,2025-06-26T07:43:16.415Z
,107988.34,107988.34000000,BTCUSDT,2025-06-26T07:43:16.516Z
,107986.49,107986.49000000,BTCUSDT,2025-06-26T07:43:16.532Z
,107982.9,107982.90000000,BTCUSDT,2025-06-26T07:43:16.617Z
,107977.68,107977.68000000,BTCUSDT,2025-06-26T07:43:16.621Z
,107977.68,107977.68000000,BTCUSDT,2025-06-26T07:43:16.625Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:16.681Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:16.684Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:17.12Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:18.025Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:18.433Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:18.893Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:19.276Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:19.837Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:19.96Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:21.167Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:21.644Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:22.557Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:22.625Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:22.691Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:22.719Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:24.721Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:25.336Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:25.804Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:25.907Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:26.38Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:27.774Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:29.572Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:30.12Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:30.879Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:31.547Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:33.838Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:33.873Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:34.712Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:34.868Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:35.2Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:35.761Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:35.793Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:36.334Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:36.777Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:36.941Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:36.943Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:36.949Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:36.951Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:36.953Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:36.958Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:37.109Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:37.148Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:37.64Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:37.713Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:38.724Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:40.013Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:40.063Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:40.19Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:41.303Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:41.368Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:41.6Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:42.462Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:43.888Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:44.009Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:44.022Z
,107976.78,107976.78000000,BTCUSDT,2025-06-26T07:43:44.135Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:44.643Z
,107976.77,107976.77000000,BTCUSDT,2025-06-26T07:43:45.143Z
